ticker,cik,company,sic,sic_desc,form,filing_date,report_date,acceptance_datetime,accession,doc_url,n_words,n_distinct,text_path,accession_clean,calendar_quarter,acceptance_et,acceptance_effective_date,day0_candidate,day0,day_minus1,price_day_minus1,n_pre_returns,n_post_returns,negative_prop,negative_tfidf,positive_prop,positive_tfidf,uncertainty_prop,uncertainty_tfidf
AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2021-03-23,2021-02-28,2021-03-23 21:24:16+00:00,0001104659-21-040394,https://www.sec.gov/Archives/edgar/data/1750/000110465921040394/air-20210228x10q.htm,5753,901,data/interim/text/000110465921040394.txt.gz,110465921040394,2021Q1,2021-03-23 17:24:16-04:00,2021-03-24,2021-03-24,2021-03-24,2021-03-23,39.97999954223633,139,1259,0.012341387102381366,11.512796993358727,0.0033026247175386753,3.666305307772415,0.011646097688162698,8.04423001433871
AIR,1750,AAR CORP,3720,Aircraft & Parts,10-K,2021-07-21,2021-05-31,2021-07-21 01:46:22+00:00,0001104659-21-094125,https://www.sec.gov/Archives/edgar/data/1750/000110465921094125/air-20210531x10k.htm,23055,2563,data/interim/text/000110465921094125.txt.gz,110465921094125,2021Q3,2021-07-20 21:46:22-04:00,2021-07-21,2021-07-21,2021-07-21,2021-07-20,36.29999923706055,221,1177,0.020949902407286922,89.38548968840097,0.004771199306007373,16.057440553035537,0.019171546302320538,14.444424061295711
AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2021-12-21,2021-11-30,2021-12-21 22:13:50+00:00,0001104659-21-152249,https://www.sec.gov/Archives/edgar/data/1750/000110465921152249/air-20211130x10q.htm,5668,903,data/interim/text/000110465921152249.txt.gz,110465921152249,2021Q4,2021-12-21 17:13:50-05:00,2021-12-22,2021-12-22,2021-12-22,2021-12-21,37.150001525878906,329,1069,0.01182074805928017,7.207911713123529,0.0028228652081863093,2.793944726594781,0.011644318983768526,6.161719982585692
AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2022-03-22,2022-02-28,2022-03-22 21:18:22+00:00,0001104659-22-036639,https://www.sec.gov/Archives/edgar/data/1750/000110465922036639/air-20220322x10q.htm,5958,947,data/interim/text/000110465922036639.txt.gz,110465922036639,2022Q1,2022-03-22 17:18:22-04:00,2022-03-23,2022-03-23,2022-03-23,2022-03-22,46.88999938964844,391,1007,0.010741859684457872,7.5509412910551355,0.0025176233635448137,2.7815313394527346,0.011413225914736489,6.7180277268298605
AIR,1750,AAR CORP,3720,Aircraft & Parts,10-K,2022-07-21,2022-05-31,2022-07-21 15:04:06+00:00,0001104659-22-081498,https://www.sec.gov/Archives/edgar/data/1750/000110465922081498/air-20220531x10k.htm,23561,2622,data/interim/text/000110465922081498.txt.gz,110465922081498,2022Q3,2022-07-21 11:04:06-04:00,2022-07-21,2022-07-21,2022-07-21,2022-07-20,45.02000045776367,473,925,0.020372649717753915,89.49663894115237,0.005347820550910403,18.367527207755124,0.018972030049658334,14.290449258193117
AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2022-12-20,2022-11-30,2022-12-20 22:22:43+00:00,0001104659-22-128706,https://www.sec.gov/Archives/edgar/data/1750/000110465922128706/air-20221130x10q.htm,5561,846,data/interim/text/000110465922128706.txt.gz,110465922128706,2022Q4,2022-12-20 17:22:43-05:00,2022-12-21,2022-12-21,2022-12-21,2022-12-20,45.209999084472656,580,818,0.007552598453515555,3.7221673533756054,0.0032368279086495235,2.718883733832119,0.01114907390757058,2.14995009933496
AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2023-03-21,2023-02-28,2023-03-21 21:17:11+00:00,0001104659-23-035153,https://www.sec.gov/Archives/edgar/data/1750/000110465923035153/air-20221130x10q.htm,5863,916,data/interim/text/000110465923035153.txt.gz,110465923035153,2023Q1,2023-03-21 17:17:11-04:00,2023-03-22,2023-03-22,2023-03-22,2023-03-21,52.619998931884766,641,757,0.008698618454716017,5.29974857696186,0.004264028654272557,3.254578484996924,0.012962647108988572,2.1645773719388606
AIR,1750,AAR CORP,3720,Aircraft & Parts,10-K,2023-07-18,2023-05-31,2023-07-18 21:16:55+00:00,0001104659-23-082069,https://www.sec.gov/Archives/edgar/data/1750/000110465923082069/air-20230531x10k.htm,24443,2680,data/interim/text/000110465923082069.txt.gz,110465923082069,2023Q3,2023-07-18 17:16:55-04:00,2023-07-19,2023-07-19,2023-07-19,2023-07-18,59.81999969482422,722,676,0.018451090291699054,81.5882648104773,0.006423106819948452,23.602726292814854,0.019351143476659984,12.342604632363487
AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2023-12-21,2023-11-30,2023-12-21 22:19:59+00:00,0001104659-23-128321,https://www.sec.gov/Archives/edgar/data/1750/000110465923128321/air-20231130x10q.htm,6260,921,data/interim/text/000110465923128321.txt.gz,110465923128321,2023Q4,2023-12-21 17:19:59-05:00,2023-12-22,2023-12-22,2023-12-22,2023-12-21,70.79000091552734,832,566,0.008626198083067093,6.178330996491641,0.004153354632587859,2.045644418040023,0.013258785942492014,2.4035561110222523
AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2024-03-21,2024-02-29,2024-03-21 21:26:21+00:00,0001104659-24-037408,https://www.sec.gov/Archives/edgar/data/1750/000110465924037408/air-20240229x10q.htm,8675,1210,data/interim/text/000110465924037408.txt.gz,110465924037408,2024Q1,2024-03-21 17:26:21-04:00,2024-03-22,2024-03-22,2024-03-22,2024-03-21,63.91999816894531,893,505,0.011873198847262248,16.153910064030086,0.0033429394812680116,2.2499595676184483,0.015331412103746398,5.3366872812250135
